"Sygnatura czasowa","Ilu bliskich znajomych miałeś/miałaś w chwili wybuchu pandemii? ","Ilu bliskich znajomych masz  obecnie?","Czy w chwili wybuchu pandemii byłeś/byłaś w związku?","Czy obecnie jesteś w związku?","W skali 0-5 oceń poziom swojej aktywności fizycznej na początku 2020 roku.","W skali 0-5 oceń poziom swojej aktywności fizycznej obecnie","Jaki jest twój typ osobowości?","Jaka jest twoja płeć?"
"2021/05/09 2:56:35 PM EET","2","2","Tak","Nie","1","4","entj","Mężczyzna"
"2021/05/09 3:09:52 PM EET","1","2","Nie","Nie","2","3","intj","Kobieta"
"2021/05/09 3:13:35 PM EET","Więcej niż 5","2","Nie","Nie","0","0","entp","Kobieta"
"2021/05/09 3:14:01 PM EET","3","2","Nie","Nie","0","0","intp","Kobieta"
"2021/05/09 3:14:40 PM EET","4","3","Nie","Nie","1","1","infp","Kobieta"
"2021/05/09 3:22:20 PM EET","3","3","Tak","Tak","0","2","entj","Kobieta"
"2021/05/09 3:38:38 PM EET","4","0","Nie","Nie","3","1","infp","Mężczyzna"
"2021/05/09 3:44:30 PM EET","3","3","Nie","Nie","4","2","intj","Mężczyzna"
"2021/05/09 3:45:09 PM EET","3","2","Nie","Nie","2","0","isfj","Kobieta"
"2021/05/09 3:52:28 PM EET","Więcej niż 5","4","Tak","Tak","0","0","enfj","Pomijam pytanie"
"2021/05/09 3:58:28 PM EET","Więcej niż 5","Więcej niż 5","Nie","Nie","2","3","infp","Kobieta"
"2021/05/09 4:00:29 PM EET","2","2","Nie","Nie","0","5","istj","Mężczyzna"
"2021/05/09 4:03:09 PM EET","5","5","Nie","Nie","2","4","entp","Mężczyzna"
"2021/05/09 4:05:34 PM EET","Więcej niż 5","Więcej niż 5","Nie","Nie","2","3","enfp","Kobieta"
"2021/05/09 4:11:40 PM EET","3","1","Nie","Nie","3","2","entp","Kobieta"
"2021/05/09 4:48:50 PM EET","4","3","Nie","Tak","1","3","intj","Pomijam pytanie"
"2021/05/09 4:49:21 PM EET","1","0","Tak","Nie","0","0","intp","Mężczyzna"
"2021/05/09 5:00:07 PM EET","3","3","Tak","Tak","5","2","intj","Kobieta"
"2021/05/09 5:00:32 PM EET","2","2","Nie","Nie","3","2","infp","Kobieta"
"2021/05/09 5:09:37 PM EET","3","3","Tak","Tak","2","0","infj","Kobieta"
"2021/05/09 5:14:19 PM EET","2","2","Tak","Tak","5","5","intj","Kobieta"
"2021/05/09 5:28:58 PM EET","5","5","Nie","Nie","3","2","entp","Mężczyzna"
"2021/05/09 5:37:19 PM EET","1","3","Nie","Nie","2","0","enfp","Kobieta"
"2021/05/09 6:14:54 PM EET","3","3","Nie","Nie","4","3","enfj","Kobieta"
"2021/05/09 6:16:28 PM EET","0","0","Nie","Nie","4","2","entp","Mężczyzna"
"2021/05/09 6:17:36 PM EET","1","3","Tak","Nie","1","2","isfp","Kobieta"
"2021/05/09 6:22:58 PM EET","Więcej niż 5","3","Tak","Nie","1","0","infp","Kobieta"
"2021/05/09 7:06:46 PM EET","2","1","Tak","Nie","4","2","intp","Mężczyzna"
"2021/05/09 7:21:48 PM EET","Więcej niż 5","Więcej niż 5","Nie","Nie","2","0","esfp","Kobieta"
"2021/05/09 7:27:00 PM EET","4","Więcej niż 5","Nie","Nie","5","3","intj","Kobieta"
"2021/05/09 7:28:55 PM EET","3","3","Nie","Nie","0","0","intp","Kobieta"
"2021/05/09 7:28:57 PM EET","4","4","Tak","Tak","0","4","infj","Kobieta"
"2021/05/09 7:30:07 PM EET","4","4","Nie","Nie","4","1","infp","Kobieta"
"2021/05/09 7:42:16 PM EET","0","0","Nie","Nie","3","2","infj","Kobieta"
"2021/05/09 7:50:41 PM EET","5","3","Tak","Nie","5","2","infj","Mężczyzna"
"2021/05/09 7:51:22 PM EET","3","3","Nie","Tak","3","2","entp","Mężczyzna"
"2021/05/09 8:09:43 PM EET","2","2","Tak","Tak","2","0","infj","Kobieta"
"2021/05/09 8:14:59 PM EET","5","5","Nie","Nie","5","5","infj","Kobieta"
"2021/05/09 8:32:28 PM EET","3","1","Nie","Nie","3","5","intp","Mężczyzna"
"2021/05/09 8:44:57 PM EET","2","0","Nie","Nie","3","1","entp","Kobieta"
"2021/05/09 8:58:17 PM EET","2","2","Nie","Nie","3","1","infp","Kobieta"
"2021/05/09 9:48:12 PM EET","Więcej niż 5","Więcej niż 5","Nie","Tak","4","2","enfp","Kobieta"
"2021/05/09 10:52:13 PM EET","2","2","Nie","Nie","1","3","infp","Kobieta"
"2021/05/09 11:35:41 PM EET","3","3","Tak","Tak","1","4","entp","Mężczyzna"
"2021/05/09 11:59:18 PM EET","3","2","Tak","Nie","2","0","enfp","Kobieta"
"2021/05/10 12:35:15 AM EET","Więcej niż 5","2","Nie","Nie","4","1","infp","Kobieta"
"2021/05/10 12:36:15 AM EET","Więcej niż 5","Więcej niż 5","Nie","Nie","0","0","enfp","Kobieta"
"2021/05/10 2:12:06 AM EET","4","Więcej niż 5","Tak","Tak","1","4","enfp","Kobieta"
